"Latest: Time (s)","Latest: Intensity (%)","Latest: Angle (rad)","Latest: Velocity (rad/s)","Latest: Acceleration (rad/s²)"
34,22.6791381836,-11.1352006277,-0.688435427176,0.333982758098
34.05,27.6794433594,-11.1701072128,-0.659346606309,0.818796439207
34.1,32.1319580078,-11.2050137978,-0.572080143709,0.667965516195
34.15,35.3042602539,-11.2224670903,-0.562383870087,-0.016160456037
34.2,38.932800293,-11.2573736754,-0.62056151182,5.4894360662E-015
34.25,43.2632446289,-11.2922802604,-0.562383870087,0.010773637358
34.3,47.5021362305,-11.3097335529,-0.572080143709,-0.716446884306
34.35,51.2237548828,-11.344640138,-0.659346606309,-1.06659009844
34.4,54.638671875,-11.379546723,-0.698131700798,-1.08813737316
34.45,58.4213256836,-11.414453308,-0.746613068909,-1.20126056542
34.5,62.9043579102,-11.4493598931,-0.853272078753,-0.414785038283
34.55,67.7215576172,-11.5017197706,-0.892057173242,2.20859565839
34.6,70.5276489258,-11.5540796482,-0.639954059065,4.8212027177
34.65,71.7178344727,-11.5715329407,-0.271495661421,4.80504226166
34.7,72.021484375,-11.5715329407,-0.0678739153553,2.8711743559
34.75,71.9009399414,-11.5715329407,-0.00969627362219,1.14739237863
34.8,72.3266601563,-11.5715329407,0,0.312435483382
34.85,72.4792480469,-11.5715329407,0,0.05386818679
34.9,72.998046875,-11.5715329407,0,0.005386818679
34.95,73.0590820313,-11.5715329407,0,0
35,73.0285644531,-11.5715329407,0,0
35.05,73.3337402344,-11.5715329407,0,0
35.1,73.2421875,-11.5715329407,0,0
35.15,73.2421875,-11.5715329407,0,0
35.2,73.2421875,-11.5715329407,0,0
35.25,73.2116699219,-11.5715329407,0,0
35.3,73.0590820313,-11.5715329407,0,0
35.35,72.9064941406,-11.5715329407,0,0
35.4,72.3266601563,-11.5715329407,0,0
35.45,72.5708007813,-11.5715329407,0,-0.021547274716
35.5,73.1201171875,-11.5715329407,0,-0.156217741691
35.55,72.5402832031,-11.5715329407,0,-0.781088708454
35.6,72.3876953125,-11.5715329407,-0.0387850944888,-2.17088792764
35.65,72.6013183594,-11.5715329407,-0.164836651577,-4.21787902565
35.7,72.4487304688,-11.5715329407,-0.562383870087,-4.35793631131
35.75,72.75390625,-11.6413461108,-0.736916795287,-2.0254438233
35.8,72.9370117188,-11.6587994033,-0.669042879931,-1.03965600505
35.85,71.7788696289,-11.6937059884,-0.804790710642,-0.624870966763
35.9,68.7286376953,-11.7460658659,-0.804790710642,0.770315071096
35.95,66.1666870117,-11.780972451,-0.698131700798,1.50292241144
36,64.0930175781,-11.815879036,-0.581776417331,0.899598719392
36.05,61.653137207,-11.8333323285,-0.572080143709,-0.490200499789
36.1,58.8165283203,-11.8682389136,-0.669042879931,-1.2066473841
36.15,55.1879882813,-11.9031454986,-0.727220521664,-1.06120327976
36.2,50.2471923828,-11.9380520836,-0.814486984264,-0.0215472747161
36.25,44.9417114258,-11.9904119612,-0.775701889775,1.6914610652
36.3,40.6112670898,-12.0253185462,-0.572080143709,1.8476788069
36.35,37.1337890625,-12.0427718388,-0.465421133865,-0.404011400925
36.4,33.9324951172,-12.0602251313,-0.591472690954,-3.05971300967
36.45,29.6310424805,-12.0951317163,-0.862968352375,-3.79232035001
36.5,23.4100341797,-12.1474915939,-1.10537519293,-1.68607424653
36.55,15.4205322266,-12.217304764,-1.10537519293,2.00928336727
36.6,9.80834960938,-12.2696646415,-0.853272078753,4.76194771223
36.65,6.85119628906,-12.3045712266,-0.533295049221,5.45684732182
36.7,5.93566894531,-12.3220245191,-0.232710566933,4.39564404206
36.75,5.90515136719,-12.3220245191,-0.0581776417331,2.47793659234
36.8,5.90515136719,-12.3220245191,-0.00969627362219,0.975014180898
36.85,5.90515136719,-12.3220245191,0,0.274727752629
36.9,5.84411621094,-12.3220245191,0,0.048481368111
36.95,5.93566894531,-12.3220245191,0,0.005386818679
37,5.93566894531,-12.3220245191,0,0
37.05,5.93566894531,-12.3220245191,0,0
37.1,5.93566894531,-12.3220245191,0,0
37.15,5.96618652344,-12.3220245191,0,0
37.2,5.93566894531,-12.3220245191,0,0
37.25,5.96618652344,-12.3220245191,0,0
37.3,6.02722167969,-12.3220245191,0,-0.016160456037
37.35,6.05773925781,-12.3220245191,0,-0.123896829617
37.4,6.05773925781,-12.3220245191,0,-0.635644604121
37.45,6.05773925781,-12.3220245191,-0.0290888208666,-1.86922608161
37.5,6.05773925781,-12.3220245191,-0.135747830711,-3.80309398737
37.55,5.81359863281,-12.3220245191,-0.475117407487,-4.31484176188
37.6,3.34320068359,-12.3743843966,-0.717524248042,-2.06315155406
37.65,2.21557617188,-12.4092909817,-0.678739153553,0.220859565839
37.7,1.81884765625,-12.4441975667,-0.581776417331,0.474040043752
37.75,1.7578125,-12.4616508592,-0.572080143709,-0.576389598653
37.8,2.15454101563,-12.4965574443,-0.669042879931,-1.25512875221
37.85,3.03802490234,-12.5314640293,-0.727220521664,-1.24435511485
37.9,5.02166748047,-12.5663706144,-0.824183257886,-0.490200499789
37.95,7.76519775391,-12.6187304919,-0.814486984264,0.931919631466
38,11.2426757813,-12.653637077,-0.698131700798,1.65914015313
38.05,14.1082763672,-12.688543662,-0.581776417331,1.15277919731
38.1,16.4566040039,-12.7059969545,-0.562383870087,0.210085928481
38.15,19.2016601563,-12.7409035396,-0.62056151182,0.258567296592
38.2,23.2269287109,-12.7758101246,-0.552687596465,0.673352334874
38.25,26.4602661133,-12.7932634171,-0.523598775598,0.576389598653
38.3,29.1137695313,-12.8281700022,-0.494509954732,0.26934093395
38.35,31.7367553711,-12.8456232947,-0.446028586621,-0.953466906182
38.4,34.5718383789,-12.8630765872,-0.572080143709,-2.29478475725
38.45,38.2629394531,-12.8979831722,-0.775701889775,-1.76687652671
38.5,43.293762207,-12.9503430498,-0.814486984264,0.0969627362219
38.55,47.3510742188,-12.9852496348,-0.727220521664,1.51908286748
38.6,49.8809814453,-13.0201562199,-0.649650332687,2.64492797139
38.65,52.8091430664,-13.0550628049,-0.475117407487,3.69535761379
38.7,53.7857055664,-13.0725160974,-0.22301429331,3.55530032814
38.75,53.9077758789,-13.0725160974,-0.0581776417331,2.21936929575
38.8,53.938293457,-13.0725160974,-0.00969627362219,0.926532812787
38.85,54.1809082031,-13.0725160974,0,0.26934093395
38.9,54.39453125,-13.0725160974,0,0.048481368111
38.95,54.39453125,-13.0725160974,0,0.005386818679
39,54.4555664063,-13.0725160974,0,0
39.05,54.4555664063,-13.0725160974,0,0
39.1,54.4860839844,-13.0725160974,0,0
39.15,54.4250488281,-13.0725160974,0,-0.016160456037
39.2,54.5166015625,-13.0725160974,0,-0.129283648296
39.25,54.1213989258,-13.0725160974,0,-0.678739153553
39.3,54.2724609375,-13.0725160974,-0.0290888208666,-2.10085928481
39.35,53.8162231445,-13.0725160974,-0.145444104333,-4.53570132771
39.4,54.1519165039,-13.0725160974,-0.523598775598,-5.95782145897
39.45,56.103515625,-13.124875975,-0.901753446864,-4.23403948169
39.5,57.3837280273,-13.1772358526,-1.00841245671,-0.991174636935
39.55,56.9869995117,-13.2295957301,-0.979323635841,2.00928336727
39.6,55.8288574219,-13.2819556077,-0.785398163397,4.19633175094
39.65,54.638671875,-13.3168621927,-0.446028586621,3.9485380917
39.7,54.2419433594,-13.3168621927,-0.281191935044,1.50292241144
39.75,53.6636352539,-13.3343154852,-0.329673303155,-0.549455505257
39.8,52.7786254883,-13.3517687778,-0.387850944888,-1.53524332351
39.85,50.7049560547,-13.3692220703,-0.513902501976,-1.65914015313
39.9,48.0209350586,-13.4041286553,-0.610865238198,-0.689512790911
39.95,45.2453613281,-13.4390352404,-0.562383870087,0.010773637358
40,42.2271728516,-13.4564885329,-0.562383870087,-0.016160456037
40.05,38.5971069336,-13.4913951179,-0.610865238198,0.662578697516
40.1,35.1821899414,-13.526301703,-0.513902501976,1.56756423559
40.15,32.6812744141,-13.5437549955,-0.39754721851,1.55679059823
40.2,30.5160522461,-13.561208288,-0.349065850399,1.36286512579
40.25,28.7475585938,-13.5786615805,-0.300584482288,1.73455561464
40.3,27.2537231445,-13.596114873,-0.174532925199,2.04699109802
40.35,27.0706176758,-13.596114873,-0.048481368111,1.51908286748
40.4,27.0706176758,-13.596114873,-0.00969627362219,0.700286428269
40.45,27.131652832,-13.596114873,0,0.226246384518
40.5,27.1621704102,-13.596114873,0,0.043094549432
40.55,27.1011352539,-13.596114873,0,0.005386818679
40.6,27.375793457,-13.596114873,0,0
40.65,27.4353027344,-13.596114873,0,0
40.7,27.5268554688,-13.596114873,0,0
40.75,27.4353027344,-13.596114873,0,0
40.8,27.5573730469,-13.596114873,0,0
40.85,27.5268554688,-13.596114873,0,0
40.9,27.4047851563,-13.596114873,0,0
40.95,27.4353027344,-13.596114873,0,-0.016160456037
41,27.3147583008,-13.596114873,0,-0.123896829617
41.05,27.2232055664,-13.596114873,0,-0.635644604121
41.1,27.131652832,-13.596114873,-0.0290888208666,-1.87461290029
41.15,27.0095825195,-13.596114873,-0.135747830711,-3.8461885368
41.2,26.7959594727,-13.596114873,-0.475117407487,-4.53570132771
41.25,21.4584350586,-13.6484747506,-0.727220521664,-2.72034343289
41.3,17.7993774414,-13.6833813356,-0.727220521664,-1.06659009844
41.35,13.9877319336,-13.7182879207,-0.746613068909,-0.829570076565
41.4,10.1440429688,-13.7531945057,-0.824183257886,-0.576389598652
41.45,7.12585449219,-13.8055543833,-0.833879531508,0.043094549432
41.5,4.65545654297,-13.8404609683,-0.775701889775,0.0053868186789
41.55,2.94647216797,-13.8753675534,-0.833879531508,-0.021547274716
41.6,1.8798828125,-13.9277274309,-0.824183257886,0.635644604122
41.65,1.69677734375,-13.962634016,-0.736916795287,0.673352334875
41.7,2.24609375,-13.997540601,-0.717524248042,0.05386818679
41.75,3.22113037109,-14.032447186,-0.736916795287,-0.360916851493
41.8,5.29479980469,-14.0673537711,-0.814486984264,0.474040043752
41.85,7.97882080078,-14.1197136486,-0.766005616153,2.70956979553
41.9,11.8209838867,-14.1546202337,-0.513902501976,4.33100221791
41.95,13.591003418,-14.1720735262,-0.232710566933,3.99163264114
42,13.7130737305,-14.1720735262,-0.0581776417331,2.39713431215
42.05,13.6520385742,-14.1720735262,-0.00969627362219,0.96424054354
42.1,13.8046264648,-14.1720735262,0,0.274727752629
42.15,13.8046264648,-14.1720735262,0,0.048481368111
42.2,13.835144043,-14.1720735262,0,0.005386818679
42.25,13.835144043,-14.1720735262,0,0
42.3,13.8046264648,-14.1720735262,0,-0.005386818679
42.35,13.8046264648,-14.1720735262,0,-0.048481368111
42.4,13.7130737305,-14.1720735262,0,-0.263954115271
42.45,13.7741088867,-14.1720735262,-0.00969627362219,-0.888825082034
42.5,13.7130737305,-14.1720735262,-0.0581776417332,-2.03083064198
42.55,13.7741088867,-14.1720735262,-0.213318019688,-3.03816573495
42.6,15.2374267578,-14.1895268187,-0.436332312999,-2.6664752461
42.65,18.3181762695,-14.2244334038,-0.513902501976,-1.54063014219
42.7,21.8246459961,-14.2418866963,-0.552687596465,-0.948080087503
42.75,25.0579833984,-14.2767932813,-0.62056151182,-0.307048664703
42.8,29.296875,-14.3116998664,-0.562383870087,-0.21547274716
42.85,33.4136962891,-14.3291531589,-0.581776417331,-1.15816601598
