"Latest: Time (s)","Latest: Intensity (%)","Latest: Angle (rad)","Latest: Velocity (rad/s)","Latest: Acceleration (rad/s²)"
16.05,23.8677978516,-4.59021593275,-0.513902501976,-1.0773637358
16.1,23.5626220703,-4.62512251778,-0.601168964576,0.263954115271
16.15,23.9288330078,-4.66002910282,-0.504206228354,2.00928336726
16.2,24.4171142578,-4.67748239534,-0.349065850399,2.80114571308
16.25,24.5086669922,-4.69493568786,-0.184229198822,2.66108842742
16.3,24.5391845703,-4.69493568786,-0.048481368111,1.73455561464
16.35,24.9359130859,-4.69493568786,-0.00969627362219,0.743380977701
16.4,24.3560791016,-4.69493568786,0,0.231633203197
16.45,24.3255615234,-4.69493568786,0,0.043094549432
16.5,24.4476318359,-4.69493568786,0,0.005386818679
16.55,24.3560791016,-4.69493568786,0,0
16.6,24.7222900391,-4.69493568786,0,0
16.65,24.5086669922,-4.69493568786,0,0
16.7,24.5391845703,-4.69493568786,0,0
16.75,24.6002197266,-4.69493568786,0,0
16.8,24.7222900391,-4.69493568786,0,0
16.85,24.6612548828,-4.69493568786,0,0
16.9,24.2645263672,-4.69493568786,0,0
16.95,24.2340087891,-4.69493568786,0,0
17,24.2034912109,-4.69493568786,0,-0.00538681867899
17.05,24.2034912109,-4.69493568786,0,-0.0430945494319
17.1,25.0274658203,-4.69493568786,0,-0.226246384518
17.15,24.5697021484,-4.69493568786,-0.00969627362219,-0.700286428269
17.2,24.5086669922,-4.69493568786,-0.0484813681109,-1.5136960488
17.25,23.5015869141,-4.69493568786,-0.174532925199,-2.00389654859
17.3,23.7762451172,-4.71238898038,-0.300584482288,-1.5136960488
17.35,24.2340087891,-4.7298422729,-0.339369576777,-0.700286428269
17.4,25.0274658203,-4.74729556542,-0.349065850399,-0.226246384518
17.45,26.0025024414,-4.76474885794,-0.349065850399,-0.043094549432
17.5,27.131652832,-4.78220215046,-0.349065850399,-0.00538681867894
17.55,29.0222167969,-4.79965544298,-0.349065850399,1.99624267733E-013
17.6,29.997253418,-4.8171087355,-0.349065850399,7.25345709422E-014
17.65,30.8822631836,-4.83456202802,-0.349065850399,-7.25345709422E-014
17.7,31.217956543,-4.85201532054,-0.349065850399,-1.99624267733E-013
17.75,31.7672729492,-4.86946861306,-0.349065850399,-5.92427341751E-014
17.8,31.4926147461,-4.88692190558,-0.349065850399,0.00538681867906
17.85,27.5268554688,-4.9043751981,-0.349065850399,0.0377077307529
17.9,26.7654418945,-4.92182849062,-0.349065850399,0.183151835086
17.95,26.7959594727,-4.93928178314,-0.339369576777,0.474040043752
18,26.399230957,-4.95673507566,-0.31028075591,0.818796439207
18.05,25.8193969727,-4.97418836818,-0.22301429331,0.53329504922
18.1,25.2700805664,-4.97418836818,-0.22301429331,-0.263954115271
18.15,24.1729736328,-4.9916416607,-0.300584482288,-0.113123192259
18.2,23.7152099609,-5.00909495322,-0.290888208666,1.03965600505
18.25,24.7528076172,-5.02654824574,-0.174532925199,1.8207447135
18.3,23.9898681641,-5.02654824574,-0.048481368111,1.47598831804
18.35,23.9593505859,-5.02654824574,-0.00969627362219,0.69489960959
18.4,24.5086669922,-5.02654824574,0,0.226246384518
18.45,25.2395629883,-5.02654824574,0,0.043094549432
18.5,26.2466430664,-5.02654824574,0,0.005386818679
18.55,26.0940551758,-5.02654824574,0,0
18.6,25.8804321289,-5.02654824574,0,0
18.65,25.7888793945,-5.02654824574,0,0
18.7,26.1856079102,-5.02654824574,0,0
18.75,25.8499145508,-5.02654824574,0,0
18.8,25.8499145508,-5.02654824574,0,0
18.85,26.0025024414,-5.02654824574,0,0
18.9,25.9414672852,-5.02654824574,0,0
18.95,26.399230957,-5.02654824574,0,0
19,26.0940551758,-5.02654824574,0,-0.005386818679
19.05,26.1245727539,-5.02654824574,0,-0.043094549432
19.1,25.6057739258,-5.02654824574,0,-0.226246384518
19.15,25.7583618164,-5.02654824574,-0.00969627362219,-0.700286428269
19.2,25.422668457,-5.02654824574,-0.048481368111,-1.51908286748
19.25,23.5931396484,-5.02654824574,-0.174532925199,-2.04160427934
19.3,24.3865966797,-5.04400153826,-0.300584482288,-1.70223470256
19.35,25.3311157227,-5.06145483078,-0.349065850399,-1.21203420277
19.4,27.7709960938,-5.0789081233,-0.387850944888,-1.22819465881
19.45,27.83203125,-5.09636141582,-0.48481368111,-1.0504296424
19.5,27.7709960938,-5.13126800086,-0.513902501976,-0.549455505257
19.55,26.3687133789,-5.14872129338,-0.523598775598,-0.333982758098
19.6,22.2518920898,-5.18362787842,-0.53329504922,-0.328595939419
19.65,20.3918457031,-5.20108117094,-0.552687596465,-0.350143214135
19.7,19.9951171875,-5.23598775598,-0.610865238198,0.285501389987
19.75,20.7565307617,-5.27089434102,-0.523598775598,0.791862345812
19.8,20.4528808594,-5.28834763354,-0.446028586621,-0.183151835086
19.85,21.2142944336,-5.30580092606,-0.53329504922,-1.29822330164
19.9,23.0438232422,-5.3407075111,-0.649650332687,-1.06120327976
19.95,23.5626220703,-5.37561409614,-0.678739153553,0.0861890988639
20,25.8804321289,-5.41052068118,-0.649650332687,1.51908286748
20.05,26.7044067383,-5.44542726622,-0.513902501976,2.66108842742
20.1,27.375793457,-5.46288055874,-0.349065850399,3.02200527892
20.15,26.7959594727,-5.48033385126,-0.184229198822,2.70418297686
20.2,27.0095825195,-5.48033385126,-0.048481368111,1.73994243332
20.25,27.0095825195,-5.48033385126,-0.00969627362219,0.743380977701
20.3,26.4297485352,-5.48033385126,0,0.231633203197
20.35,26.3076782227,-5.48033385126,0,0.043094549432
20.4,26.399230957,-5.48033385126,0,0.005386818679
20.45,26.2771606445,-5.48033385126,0,0
20.5,26.3381958008,-5.48033385126,0,0
20.55,26.399230957,-5.48033385126,0,0
20.6,26.3076782227,-5.48033385126,0,-0.005386818679
20.65,26.3381958008,-5.48033385126,0,-0.048481368111
20.7,26.5518188477,-5.48033385126,0,-0.263954115271
20.75,26.7959594727,-5.48033385126,-0.00969627362219,-0.883438263355
20.8,27.7404785156,-5.48033385126,-0.0581776417331,-1.99312291123
20.85,28.5339355469,-5.48033385126,-0.213318019688,-2.85501389987
20.9,26.9790649414,-5.49778714378,-0.426636039376,-2.19243520235
20.95,24.9664306641,-5.53269372882,-0.475117407487,-0.727220521664
21,24.6002197266,-5.55014702134,-0.426636039376,-0.447105950357
21.05,25.8804321289,-5.56760031386,-0.494509954732,-0.721833702985
21.1,26.0025024414,-5.6025068989,-0.523598775598,-0.657191878837
21.15,23.9593505859,-5.61996019142,-0.552687596465,-0.6410314228
21.2,22.0993041992,-5.65486677646,-0.62056151182,-0.0377077307528
21.25,20.6970214844,-5.6897733615,-0.552687596465,0.447105950357
21.3,21.1227416992,-5.70722665402,-0.53329504922,0.134670466975
21.35,21.8856811523,-5.74213323906,-0.53329504922,-0.366303670172
21.4,22.4655151367,-5.75958653158,-0.562383870087,-1.00733509297
21.45,23.1658935547,-5.79449311662,-0.659346606309,-1.17432647202
21.5,22.4349975586,-5.82939970166,-0.698131700798,-0.937306450145
21.55,22.5570678711,-5.8643062867,-0.736916795287,-0.732607340343
21.6,27.8015136719,-5.89921287174,-0.814486984264,0.398624582246
21.65,30.8212280273,-5.9515727493,-0.766005616153,2.69879615818
21.7,29.541015625,-5.98647933434,-0.513902501976,4.33100221791
21.75,27.0095825195,-6.00393262686,-0.232710566933,3.99163264114
21.8,25.910949707,-6.00393262686,-0.0581776417331,2.39713431215
21.85,24.8748779297,-6.00393262686,-0.00969627362219,0.96424054354
21.9,23.9898681641,-6.00393262686,0,0.274727752629
21.95,23.9593505859,-6.00393262686,0,0.048481368111
22,23.7152099609,-6.00393262686,0,0.005386818679
22.05,23.8983154297,-6.00393262686,0,0
22.1,23.7762451172,-6.00393262686,0,0
22.15,23.9593505859,-6.00393262686,0,0
22.2,24.1424560547,-6.00393262686,0,0
22.25,24.0509033203,-6.00393262686,0,-0.00538681867899
22.3,24.2034912109,-6.00393262686,0,-0.0484813681109
22.35,24.2645263672,-6.00393262686,0,-0.263954115271
22.4,24.9359130859,-6.00393262686,-0.00969627362219,-0.883438263355
22.45,26.6128540039,-6.00393262686,-0.0581776417331,-1.98773609255
22.5,26.3687133789,-6.00393262686,-0.213318019688,-2.81191935044
22.55,25.2395629883,-6.02138591938,-0.426636039376,-1.96618881783
22.6,23.0438232422,-6.05629250442,-0.465421133865,-0.0269340933949
22.65,23.0438232422,-6.07374579694,-0.378154671265,1.05581646108
22.7,22.7401733398,-6.09119908946,-0.319977029532,1.20664738409
22.75,21.6415405273,-6.10865238198,-0.22301429331,0.484813681109
22.8,21.305847168,-6.10865238198,-0.232710566933,-0.926532812787
22.85,21.8856811523,-6.1261056745,-0.349065850399,-1.62143242238
