"Latest: Time (s)","Latest: Illumination (lux)","Latest: Angle (rad)","Latest: Velocity (rad/s)","Latest: Acceleration (rad/s²)","Run 1: Time (s)","Run 1: Intensity (%)","Run 1: Angle (rad)","Run 1: Velocity (rad/s)","Run 1: Acceleration (rad/s²)"
5.25,49135.1824951,-1.0471975512,-0.349065850399,-0.183151835086,5.25,24.3560791016,-1.09955742876,-0.0581776417331,-2.20859565839
5.3,45913.4436035,-1.06465084372,-0.349065850399,-0.032320912074,5.3,24.1424560547,-1.09955742876,-0.22301429331,-3.47988486663
5.35,41577.7276611,-1.08210413624,-0.349065850399,0.0323209120738,5.35,24.4476318359,-1.11701072128,-0.475117407487,-3.3344407623
5.4,38062.8369141,-1.09955742876,-0.349065850399,0.183151835086,5.4,25.0274658203,-1.15191730632,-0.630257785442,-1.73455561464
5.45,37300.6420898,-1.11701072128,-0.339369576777,0.479426862431,5.45,25.3005981445,-1.18682389136,-0.649650332687,-0.0754154615061
5.5,35600.3613281,-1.1344640138,-0.31028075591,0.851117351281,5.5,25.7583618164,-1.2217304764,-0.572080143709,0.409398219604
5.55,34489.3157959,-1.15191730632,-0.22301429331,0.673352334874,5.55,27.1011352539,-1.23918376892,-0.562383870087,-0.026934093395
5.6,34958.3587646,-1.15191730632,-0.213318019688,-0.0161604560368,5.6,26.9790649414,-1.27409035396,-0.62056151182,0.183151835086
5.65,35600.3613281,-1.16937059884,-0.271495661421,1.4024275568E-013,5.65,25.178527832,-1.308996939,-0.552687596465,0.527908230542
5.7,37359.2724609,-1.18682389136,-0.213318019688,0.0161604560368,5.7,22.526550293,-1.32645023152,-0.53329504922,0.32320912074
5.75,41343.2061768,-1.18682389136,-0.22301429331,-0.673352334875,5.75,19.7814941406,-1.36135681656,-0.523598775598,0.118510010938
5.8,42984.8565674,-1.20427718388,-0.31028075591,-0.851117351281,5.8,20.7870483398,-1.37881010908,-0.523598775598,-0.118510010938
5.85,46206.595459,-1.2217304764,-0.339369576777,-0.47942686243,5.85,22.2213745117,-1.41371669412,-0.53329504922,-0.317822302061
5.9,46323.8562012,-1.23918376892,-0.349065850399,-0.183151835086,5.9,22.4044799805,-1.43116998664,-0.552687596465,-0.484813681109
5.95,46851.529541,-1.25663706144,-0.349065850399,-0.037707730753,5.95,24.2645263672,-1.46607657168,-0.62056151182,0.037707730753
6,47144.6813965,-1.27409035396,-0.349065850399,8.10154412692E-014,6,26.7654418945,-1.50098315672,-0.552687596465,0.678739153553
6.05,47437.833252,-1.29154364648,-0.349065850399,0.0377077307529,6.05,28.4729003906,-1.51843644924,-0.523598775598,0.840343713923
