"Latest: Time (s)","Latest: Potential 2 (mV)","Latest: Potential 1 (V)","Latest: Current (A)"
6.172,313.203479004,-0.141143798828,0.0576019287109
6.173,319.302246094,-0.248146057129,0.0381469726563
6.174,324.482666016,-0.351333618164,0.0183296203613
6.175,327.779296875,-0.454330444336,-0.00150680541992
6.176,330.134033203,-0.557518005371,-0.0217247009277
6.177,331.075927734,-0.656890869141,-0.041561126709
6.178,330.134033203,-0.759887695313,-0.0613975524902
6.179,328.250244141,-0.851631164551,-0.0812339782715
6.18,324.01171875,-0.93936920166,-0.100688934326
6.181,319.302246094,-1.03492736816,-0.120143890381
6.182,313.67442627,-1.11904144287,-0.138835906982
6.183,307.081164551,-1.20296478271,-0.157146453857
6.184,300.487902832,-1.28326416016,-0.175437927246
6.185,292.010852051,-1.35192871094,-0.192604064941
6.186,277.411486816,-1.42841339111,-0.208625793457
6.187,262.36472168,-1.49326324463,-0.224266052246
6.188,251.061987305,-1.55048370361,-0.239524841309
6.189,240.230200195,-1.61170959473,-0.253257751465
6.19,228.456518555,-1.66130065918,-0.266990661621
6.191,215.29354248,-1.70707702637,-0.279197692871
6.192,201.165124512,-1.74922943115,-0.291404724121
6.193,177.146813965,-1.77974700928,-0.300559997559
6.194,100.90045166,-1.8102645874,-0.304756164551
6.195,79.2368774414,-1.83696746826,-0.308952331543
6.196,71.7252685547,-1.85222625732,-0.313148498535
6.197,65.1320068359,-1.86367034912,-0.317344665527
6.198,57.1259033203,-1.87511444092,-0.32039642334
6.199,47.2360107422,-1.87129974365,-0.323066711426
6.2,37.3461181641,-1.86367034912,-0.324974060059
6.201,25.1250366211,-1.85604095459,-0.326118469238
6.202,12.8804077148,-1.833152771,-0.326881408691
6.203,-0.777062988281,-1.80644989014,-0.326499938965
6.204,-11.6088500977,-1.78356170654,-0.325736999512
6.205,-20.0859008789,-1.74160003662,-0.324211120605
6.206,-29.0103515625,-1.69944763184,-0.321922302246
6.207,-45.4935058594,-1.65748596191,-0.318870544434
6.208,-65.2732910156,-1.59645080566,-0.314292907715
6.209,-84.0876342773,-1.53903961182,-0.308570861816
6.21,-103.396472168,-1.48181915283,-0.302085876465
6.211,-122.21081543,-1.40914916992,-0.294075012207
6.212,-141.048706055,-1.33285522461,-0.28491973877
6.213,-159.415649414,-1.2601852417,-0.275001525879
6.214,-176.817150879,-1.18007659912,-0.264320373535
6.215,-193.771252441,-1.09596252441,-0.252113342285
6.216,-209.312512207,-1.01203918457,-0.239143371582
6.217,-227.655908203,-0.920295715332,-0.224647521973
6.218,-241.313378906,-0.828742980957,-0.210151672363
6.219,-250.732324219,-0.729370117188,-0.194511413574
6.22,-259.209375,-0.626182556152,-0.178871154785
6.221,-266.250036621,-0.530815124512,-0.162487030029
6.222,-272.84329834,-0.423812866211,-0.146083831787
6.223,-279.436560059,-0.324630737305,-0.128917694092
6.224,-286.029821777,-0.217628479004,-0.111751556396
6.225,-291.210241699,-0.110626220703,-0.0942039489746
6.226,-295.919714355,-0.00743865966797,-0.0758934020996
