"Latest: Time (s)","Latest: Potential 1 (V)","Latest: Current (A)","Latest: Potential 2 (V)"
3.165,,,-0.59928894043
3.166,,,-0.603103637695
3.167,,,-0.59928894043
3.168,,,-0.59928894043
3.169,,,-0.603103637695
3.17,,,-0.603103637695
3.171,,,-0.603103637695
3.172,,,-0.59928894043
3.173,,,-0.603103637695
3.174,,,-0.59928894043
3.175,,,-0.603103637695
3.176,,,-0.59928894043
3.177,,,-0.59928894043
3.178,,,6.25
3.179,,,2.72026062012
3.18,,,1.35955810547
3.181,,,0.883293151855
3.182,,,0.719451904297
3.183,,,0.658416748047
3.184,,,0.643157958984
3.185,,,0.635528564453
3.186,,,0.631713867188
3.187,,,0.635528564453
3.188,,,0.631713867188
3.189,,,0.631713867188
3.19,,,0.631713867188
3.191,,,0.627899169922
3.192,,,0.627899169922
3.193,,,0.627899169922
3.194,,,0.627899169922
3.195,,,0.631713867188
3.196,,,0.631713867188
3.197,,,0.631713867188
3.198,,,0.631713867188
3.199,,,0.631713867188
3.2,,,0.631713867188
3.201,,,0.631713867188
3.202,,,0.631713867188
3.203,,,0.631713867188
3.204,,,0.627899169922
3.205,,,0.631713867188
3.206,,,0.631713867188
3.207,,,0.631713867188
3.208,,,0.631713867188
3.209,,,0.631713867188
3.21,,,0.631713867188
3.211,,,0.631713867188
3.212,,,0.635528564453
3.213,,,0.635528564453
3.214,,,0.631713867188
3.215,,,0.631713867188
3.216,,,0.631713867188
3.217,,,0.631713867188
3.218,,,0.635528564453
3.219,,,0.635528564453
3.22,,,0.635528564453
3.221,,,0.631713867188
3.222,,,0.631713867188
3.223,,,0.631713867188
3.224,,,0.635528564453
3.225,,,0.631713867188
3.226,,,0.631713867188
3.227,,,0.631713867188
3.228,,,-5.97305297852
3.229,,,-2.52780914307
3.23,,,-1.26628875732
3.231,,,-0.827980041504
3.232,,,-0.683212280273
3.233,,,-0.629806518555
3.234,,,-0.610733032227
3.235,,,-0.603103637695
3.236,,,-0.59928894043
3.237,,,-0.59928894043
3.238,,,-0.59928894043
3.239,,,-0.59928894043
3.24,,,-0.59928894043
3.241,,,-0.603103637695
3.242,,,-0.59928894043
3.243,,,-0.59928894043
3.244,,,-0.595474243164
3.245,,,-0.587844848633
3.246,,,-0.595474243164
3.247,,,-0.59928894043
3.248,,,-0.59928894043
3.249,,,-0.59928894043
3.25,,,-0.59928894043
3.251,,,-0.59928894043
3.252,,,-0.59928894043
3.253,,,-0.595474243164
3.254,,,-0.59928894043
3.255,,,-0.59928894043
3.256,,,-0.59928894043
3.257,,,-0.603103637695
3.258,,,-0.59928894043
3.259,,,-0.59928894043
3.26,,,-0.59928894043
3.261,,,-0.59928894043
3.262,,,-0.59928894043
3.263,,,-0.603103637695
3.264,,,-0.603103637695
3.265,,,-0.603103637695
3.266,,,-0.603103637695
3.267,,,-0.603103637695
3.268,,,-0.603103637695
3.269,,,-0.603103637695
3.27,,,-0.603103637695
3.271,,,-0.603103637695
3.272,,,-0.603103637695
3.273,,,-0.603103637695
3.274,,,-0.59928894043
3.275,,,-0.59928894043
3.276,,,-0.603103637695
3.277,,,-0.603103637695
3.278,,,6.25
3.279,,,2.72407531738
3.28,,,1.3557434082
3.281,,,0.87947845459
3.282,,,0.715637207031
3.283,,,0.662231445313
3.284,,,0.643157958984
3.285,,,0.635528564453
3.286,,,0.635528564453
3.287,,,0.627899169922
3.288,,,0.627899169922
3.289,,,0.631713867188
3.29,,,0.631713867188
3.291,,,0.631713867188
3.292,,,0.631713867188
3.293,,,0.627899169922
3.294,,,0.627899169922
3.295,,,0.624084472656
3.296,,,0.631713867188
3.297,,,0.631713867188
3.298,,,0.627899169922
3.299,,,0.631713867188
3.3,,,0.627899169922
3.301,,,0.631713867188
3.302,,,0.631713867188
3.303,,,0.631713867188
3.304,,,0.631713867188
3.305,,,0.635528564453
3.306,,,0.631713867188
3.307,,,0.631713867188
3.308,,,0.631713867188
3.309,,,0.627899169922
3.31,,,0.627899169922
3.311,,,0.627899169922
3.312,,,0.631713867188
3.313,,,0.631713867188
3.314,,,0.631713867188
3.315,,,0.631713867188
3.316,,,0.631713867188
3.317,,,0.631713867188
3.318,,,0.631713867188
3.319,,,0.631713867188
3.32,,,0.631713867188
3.321,,,0.631713867188
3.322,,,0.631713867188
3.323,,,0.631713867188
3.324,,,0.635528564453
3.325,,,0.631713867188
3.326,,,0.631713867188
3.327,,,0.631713867188
3.328,,,-5.98449707031
3.329,,,-2.5354385376
3.33,,,-1.27391815186
3.331,,,-0.835609436035
3.332,,,-0.683212280273
3.333,,,-0.625991821289
3.334,,,-0.610733032227
3.335,,,-0.603103637695
3.336,,,-0.59928894043
3.337,,,-0.603103637695
3.338,,,-0.603103637695
3.339,,,-0.59928894043
3.34,,,-0.603103637695
3.341,,,-0.606918334961
3.342,,,-0.603103637695
3.343,,,-0.603103637695
3.344,,,-0.59928894043
3.345,,,-0.59928894043
3.346,,,-0.603103637695
3.347,,,-0.59928894043
3.348,,,-0.59928894043
3.349,,,-0.59928894043
3.35,,,-0.59928894043
3.351,,,-0.595474243164
3.352,,,-0.59928894043
3.353,,,-0.603103637695
3.354,,,-0.603103637695
3.355,,,-0.603103637695
3.356,,,-0.59928894043
3.357,,,-0.59928894043
3.358,,,-0.59928894043
3.359,,,-0.603103637695
3.36,,,-0.59928894043
3.361,,,-0.59928894043
3.362,,,-0.59928894043
3.363,,,-0.59928894043
3.364,,,-0.603103637695
3.365,,,-0.59928894043
3.366,,,-0.59928894043
3.367,,,-0.59928894043
3.368,,,-0.59928894043
3.369,,,-0.603103637695
3.37,,,-0.603103637695
3.371,,,-0.595474243164
3.372,,,-0.59928894043
3.373,,,-0.595474243164
3.374,,,-0.59928894043
3.375,,,-0.595474243164
3.376,,,-0.59928894043
3.377,,,-0.59928894043
3.378,,,6.25
3.379,,,2.72789001465
3.38,,,1.3557434082
3.381,,,0.87947845459
3.382,,,0.723266601563
3.383,,,0.662231445313
3.384,,,0.643157958984
3.385,,,0.639343261719
3.386,,,0.635528564453
3.387,,,0.631713867188
3.388,,,0.631713867188
3.389,,,0.631713867188
3.39,,,0.631713867188
3.391,,,0.635528564453
3.392,,,0.631713867188
3.393,,,0.631713867188
3.394,,,0.635528564453
3.395,,,0.631713867188
3.396,,,0.635528564453
3.397,,,0.635528564453
3.398,,,0.635528564453
3.399,,,0.635528564453
3.4,,,0.635528564453
3.401,,,0.635528564453
3.402,,,0.631713867188
3.403,,,0.635528564453
3.404,,,0.631713867188
3.405,,,0.631713867188
3.406,,,0.631713867188
3.407,,,0.635528564453
3.408,,,0.631713867188
3.409,,,0.631713867188
3.41,,,0.631713867188
3.411,,,0.631713867188
3.412,,,0.631713867188
3.413,,,0.631713867188
3.414,,,0.627899169922
3.415,,,0.627899169922
3.416,,,0.627899169922
3.417,,,0.631713867188
3.418,,,0.631713867188
3.419,,,0.631713867188
3.42,,,0.627899169922
3.421,,,0.631713867188
3.422,,,0.627899169922
3.423,,,0.627899169922
3.424,,,0.631713867188
3.425,,,0.627899169922
3.426,,,0.631713867188
3.427,,,0.627899169922
3.428,,,-5.99594116211
3.429,,,-2.54306793213
3.43,,,-1.27010345459
3.431,,,-0.83179473877
3.432,,,-0.683212280273
3.433,,,-0.629806518555
3.434,,,-0.610733032227
3.435,,,-0.606918334961
3.436,,,-0.606918334961
3.437,,,-0.603103637695
3.438,,,-0.603103637695
3.439,,,-0.603103637695
3.44,,,-0.603103637695
3.441,,,-0.59928894043
3.442,,,-0.603103637695
3.443,,,-0.603103637695
3.444,,,-0.59928894043
3.445,,,-0.603103637695
3.446,,,-0.603103637695
3.447,,,-0.603103637695
3.448,,,-0.603103637695
3.449,,,-0.603103637695
3.45,,,-0.603103637695
3.451,,,-0.59928894043
3.452,,,-0.603103637695
3.453,,,-0.603103637695
3.454,,,-0.603103637695
3.455,,,-0.603103637695
3.456,,,-0.603103637695
3.457,,,-0.603103637695
3.458,,,-0.59928894043
3.459,,,-0.603103637695
3.46,,,-0.603103637695
3.461,,,-0.59928894043
3.462,,,-0.59928894043
3.463,,,-0.603103637695
3.464,,,-0.603103637695
3.465,,,-0.603103637695
3.466,,,-0.59928894043
3.467,,,-0.59928894043
3.468,,,-0.603103637695
3.469,,,-0.59928894043
3.47,,,-0.595474243164
3.471,,,-0.603103637695
3.472,,,-0.603103637695
3.473,,,-0.603103637695
3.474,,,-0.591659545898
3.475,,,-0.603103637695
3.476,,,-0.603103637695
3.477,,,-0.603103637695
3.478,,,6.25
3.479,,,2.73170471191
3.48,,,1.3557434082
3.481,,,0.87947845459
3.482,,,0.711822509766
3.483,,,0.658416748047
3.484,,,0.639343261719
3.485,,,0.635528564453
3.486,,,0.631713867188
3.487,,,0.631713867188
3.488,,,0.631713867188
3.489,,,0.631713867188
3.49,,,0.631713867188
3.491,,,0.627899169922
3.492,,,0.627899169922
3.493,,,0.631713867188
3.494,,,0.631713867188
3.495,,,0.631713867188
3.496,,,0.631713867188
3.497,,,0.631713867188
3.498,,,0.631713867188
3.499,,,0.627899169922
3.5,,,0.627899169922
3.501,,,0.631713867188
3.502,,,0.631713867188
3.503,,,0.631713867188
3.504,,,0.635528564453
3.505,,,0.631713867188
3.506,,,0.635528564453
3.507,,,0.631713867188
3.508,,,0.631713867188
3.509,,,0.631713867188
3.51,,,0.631713867188
3.511,,,0.631713867188
3.512,,,0.631713867188
3.513,,,0.631713867188
3.514,,,0.627899169922
3.515,,,0.631713867188
3.516,,,0.631713867188
3.517,,,0.635528564453
3.518,,,0.635528564453
3.519,,,0.635528564453
3.52,,,0.631713867188
3.521,,,0.631713867188
3.522,,,0.631713867188
3.523,,,0.635528564453
3.524,,,0.635528564453
3.525,,,0.635528564453
3.526,,,0.635528564453
3.527,,,0.631713867188
3.528,,,-5.99975585938
3.529,,,-2.54306793213
3.53,,,-1.27010345459
3.531,,,-0.83179473877
3.532,,,-0.683212280273
3.533,,,-0.625991821289
3.534,,,-0.606918334961
3.535,,,-0.603103637695
3.536,,,-0.59928894043
3.537,,,-0.59928894043
3.538,,,-0.59928894043
3.539,,,-0.59928894043
3.54,,,-0.59928894043
3.541,,,-0.59928894043
3.542,,,-0.59928894043
3.543,,,-0.603103637695
3.544,,,-0.59928894043
3.545,,,-0.59928894043
3.546,,,-0.59928894043
3.547,,,-0.595474243164
3.548,,,-0.595474243164
3.549,,,-0.59928894043
3.55,,,-0.595474243164
3.551,,,-0.595474243164
3.552,,,-0.59928894043
3.553,,,-0.59928894043
3.554,,,-0.603103637695
3.555,,,-0.603103637695
3.556,,,-0.603103637695
3.557,,,-0.59928894043
3.558,,,-0.59928894043
3.559,,,-0.59928894043
3.56,,,-0.59928894043
3.561,,,-0.603103637695
3.562,,,-0.59928894043
3.563,,,-0.59928894043
3.564,,,-0.59928894043
3.565,,,-0.603103637695
3.566,,,-0.603103637695
3.567,,,-0.59928894043
3.568,,,-0.59928894043
3.569,,,-0.603103637695
3.57,,,-0.603103637695
3.571,,,-0.606918334961
3.572,,,-0.603103637695
3.573,,,-0.603103637695
3.574,,,-0.603103637695
3.575,,,-0.603103637695
3.576,,,-0.603103637695
3.577,,,-0.595474243164
3.578,,,6.25
3.579,,,2.73933410645
3.58,,,1.36337280273
3.581,,,0.890922546387
3.582,,,0.719451904297
3.583,,,0.666046142578
3.584,,,0.64697265625
3.585,,,0.635528564453
3.586,,,0.631713867188
3.587,,,0.631713867188
3.588,,,0.631713867188
3.589,,,0.631713867188
3.59,,,0.631713867188
3.591,,,0.631713867188
3.592,,,0.631713867188
3.593,,,0.635528564453
3.594,,,0.631713867188
3.595,,,0.631713867188
3.596,,,0.627899169922
3.597,,,0.627899169922
3.598,,,0.631713867188
3.599,,,0.624084472656
3.6,,,0.627899169922
3.601,,,0.627899169922
3.602,,,0.635528564453
3.603,,,0.627899169922
3.604,,,0.627899169922
3.605,,,0.627899169922
3.606,,,0.631713867188
3.607,,,0.631713867188
