"Latest: Time (s)","Latest: Current (A)","Latest: Potential 1 (V)","Latest: Potential 2 (V)"
11.51,0.166931152344,-0.0129699707031,3.98178100586
11.511,0.166931152344,-0.0167846679688,3.98178100586
11.512,0.166931152344,-0.0167846679688,3.97796630859
11.513,0.166931152344,-0.0282287597656,3.98178100586
11.514,0.166931152344,-0.0320434570313,3.97796630859
11.515,0.166931152344,-0.0358581542969,3.97415161133
11.516,0.166931152344,-0.0434875488281,3.98178100586
11.517,0.16731262207,-0.0434875488281,3.98559570313
11.518,0.166931152344,-0.0320434570313,3.98178100586
11.519,0.166931152344,-0.0205993652344,3.98178100586
11.52,-0.0149154663086,-0.0167846679688,-3.95317077637
11.521,-0.115547180176,0.0213623046875,-3.91883850098
11.522,-0.149478912354,0.0137329101563,-3.91120910645
11.523,-0.161304473877,-0.00152587890625,-3.90739440918
11.524,-0.165481567383,0.00228881835938,-3.89595031738
11.525,-0.167007446289,0.006103515625,-3.89595031738
11.526,-0.167007446289,0.00228881835938,-3.89976501465
11.527,-0.167770385742,-0.00534057617188,-3.89595031738
11.528,-0.167388916016,-0.0091552734375,-3.89976501465
11.529,-0.167388916016,-0.0244140625,-3.90357971191
11.53,-0.167770385742,-0.0358581542969,-3.90357971191
11.531,-0.167388916016,-0.0396728515625,-3.89976501465
11.532,-0.167388916016,-0.0358581542969,-3.89595031738
11.533,-0.167770385742,-0.0396728515625,-3.89976501465
11.534,-0.167388916016,-0.0358581542969,-3.90357971191
11.535,-0.167770385742,-0.0244140625,-3.90357971191
11.536,-0.167770385742,-0.0244140625,-3.90357971191
11.537,-0.167388916016,-0.0205993652344,-3.90357971191
11.538,-0.167388916016,-0.0091552734375,-3.89976501465
11.539,-0.167388916016,-0.00152587890625,-3.89595031738
11.54,-0.167388916016,0.00228881835938,-3.89595031738
11.541,-0.167770385742,0.00991821289063,-3.89595031738
11.542,-0.167388916016,0.006103515625,-3.89595031738
11.543,-0.167770385742,-0.00534057617188,-3.89976501465
11.544,-0.167770385742,-0.0129699707031,-3.90357971191
11.545,-0.167388916016,-0.0167846679688,-3.89976501465
11.546,-0.167388916016,-0.0244140625,-3.89595031738
11.547,-0.167388916016,-0.0320434570313,-3.89976501465
11.548,-0.167388916016,-0.0320434570313,-3.89976501465
