"Latest: Time (s)","Latest: Current (A)","Latest: Potential 1 (V)","Latest: Potential 2 (V)"
0.066,0.120792388916,2.41794586182,0.602531433105
0.067,0.127658843994,2.55889892578,0.617790222168
0.068,0.134143829346,2.68478393555,0.625419616699
0.069,0.140247344971,2.80685424805,0.640678405762
0.07,0.145568847656,2.90966033936,0.648307800293
0.071,0.150146484375,3.00884246826,0.655937194824
0.072,0.154724121094,3.08895111084,0.655937194824
0.073,0.158538818359,3.16123962402,0.652122497559
0.074,0.161209106445,3.21846008301,0.655937194824
0.075,0.163497924805,3.27186584473,0.644493103027
0.076,0.165405273438,3.31001281738,0.636863708496
0.077,0.166168212891,3.32908630371,0.625419616699
0.078,0.166549682617,3.33671569824,0.610160827637
0.079,0.166549682617,3.33290100098,0.594902038574
0.08,0.165786743164,3.31382751465,0.57201385498
0.081,0.164260864258,3.27568054199,0.556755065918
0.082,0.161972045898,3.2299041748,0.534057617188
0.083,0.158920288086,3.17649841309,0.511169433594
0.084,0.155487060547,3.11164855957,0.48828125
0.085,0.151290893555,3.02791595459,0.457763671875
0.086,0.146331787109,2.93254852295,0.434875488281
0.087,0.14139175415,2.82955169678,0.396728515625
0.088,0.135669708252,2.70767211914,0.362396240234
0.089,0.128803253174,2.58560180664,0.324440002441
0.09,0.122318267822,2.44464874268,0.286293029785
0.091,0.114707946777,2.29587554932,0.248146057129
0.092,0.10669708252,2.13966369629,0.213813781738
0.093,0.0986862182617,1.97200775146,0.171852111816
0.094,0.0902938842773,1.80416107178,0.137519836426
0.095,0.0811576843262,1.62506103516,0.0957489013672
0.096,0.0720024108887,1.43432617188,0.0576019287109
0.097,0.062084197998,1.24378204346,0.0156402587891
0.098,0.0521850585938,1.04560852051,-0.0263214111328
0.099,0.0422668457031,0.847434997559,-0.0644683837891
0.1,0.0315856933594,0.641441345215,-0.110054016113
0.101,0.0216865539551,0.435638427734,-0.144386291504
0.102,0.0113868713379,0.226020812988,-0.193977355957
0.103,0.000343322753906,0.0164031982422,-0.232124328613
0.104,-0.00995635986328,-0.193405151367,-0.266456604004
0.105,-0.0202560424805,-0.399208068848,-0.308227539063
0.106,-0.0305366516113,-0.601196289063,-0.342559814453
0.107,-0.0408363342285,-0.810813903809,-0.373077392578
0.108,-0.0511360168457,-1.01299285889,-0.403594970703
0.109,-0.06103515625,-1.21116638184,-0.434112548828
0.11,-0.0705718994141,-1.40171051025,-0.464630126953
0.111,-0.0800895690918,-1.58863067627,-0.491142272949
0.112,-0.0892448425293,-1.77154541016,-0.521659851074
0.113,-0.0976371765137,-1.94301605225,-0.536918640137
0.114,-0.106410980225,-2.11086273193,-0.563621520996
