"Latest: Time (s)","Latest: Current (A)","Latest: Potential 1 (V)","Latest: Potential 2 (V)"
4.403,-0.167388916016,-0.619125366211,-3.30142974854
4.404,-0.167388916016,-0.619125366211,-3.30142974854
4.405,-0.167388916016,-0.615310668945,-3.29761505127
4.406,-0.167388916016,-0.619125366211,-3.30142974854
4.407,-0.167770385742,-0.619125366211,-3.30142974854
4.408,-0.138416290283,6.25,-2.70690917969
4.409,0.0632286071777,2.70118713379,1.28345489502
4.41,0.13147354126,1.31740570068,2.65159606934
4.411,0.15510559082,0.844764709473,3.12042236328
4.412,0.163116455078,0.680732727051,3.28807830811
4.413,0.165786743164,0.627326965332,3.33766937256
4.414,0.166549682617,0.608253479004,3.35292816162
4.415,0.166931152344,0.600624084473,3.36055755615
4.416,0.166931152344,0.600624084473,3.36437225342
4.417,0.166931152344,0.600624084473,3.36437225342
4.418,0.166931152344,0.596809387207,3.36055755615
4.419,0.16731262207,0.600624084473,3.36818695068
4.42,0.166931152344,0.596809387207,3.36437225342
4.421,0.166931152344,0.596809387207,3.36055755615
4.422,0.166931152344,0.596809387207,3.36055755615
4.423,0.166931152344,0.596809387207,3.36055755615
4.424,0.166931152344,0.596809387207,3.36437225342
4.425,0.16731262207,0.596809387207,3.36437225342
4.426,0.166931152344,0.593185424805,3.36437225342
4.427,0.166931152344,0.593185424805,3.36437225342
4.428,0.16731262207,0.596809387207,3.36818695068
4.429,0.166931152344,0.593185424805,3.36818695068
4.43,0.166931152344,0.593185424805,3.36818695068
4.431,0.166931152344,0.593185424805,3.36437225342
4.432,0.166931152344,0.596809387207,3.36437225342
4.433,0.166931152344,0.596809387207,3.36437225342
4.434,0.16731262207,0.596809387207,3.36437225342
4.435,0.166931152344,0.600624084473,3.36818695068
4.436,0.16731262207,0.596809387207,3.36818695068
4.437,0.166931152344,0.600624084473,3.36818695068
4.438,0.166931152344,0.600624084473,3.36818695068
4.439,0.166931152344,0.600624084473,3.36818695068
4.44,0.166931152344,0.596809387207,3.36818695068
4.441,0.166931152344,0.600624084473,3.36818695068
4.442,0.16731262207,0.596809387207,3.36437225342
4.443,0.166931152344,0.596809387207,3.36437225342
4.444,0.166931152344,0.596809387207,3.36437225342
4.445,0.166931152344,0.593185424805,3.36437225342
4.446,0.16731262207,0.593185424805,3.36437225342
4.447,0.166931152344,0.593185424805,3.36818695068
4.448,0.166931152344,0.593185424805,3.36437225342
4.449,0.166931152344,0.593185424805,3.37200164795
4.45,0.16731262207,0.593185424805,3.36818695068
4.451,0.16731262207,0.593185424805,3.36818695068
4.452,0.16731262207,0.596809387207,3.37200164795
4.453,0.166931152344,0.596809387207,3.36818695068
4.454,0.16731262207,0.600624084473,3.36818695068
4.455,0.166931152344,0.596809387207,3.36818695068
4.456,0.166931152344,0.600624084473,3.36437225342
4.457,0.166931152344,0.600624084473,3.36818695068
4.458,0.115833282471,-6.05144500732,2.34298706055
4.459,-0.0713348388672,-2.57472991943,-1.39198303223
