"Latest: Time (s)","Latest: Potential 1 (V)","Latest: Current (A)","Latest: Potential 2 (V)"
8.851,,-0.167388916016,-0.591659545898
8.852,,-0.167388916016,-0.595474243164
8.853,,-0.167388916016,-0.591659545898
8.854,,-0.167388916016,-0.595474243164
8.855,,-0.167388916016,-0.595474243164
8.856,,-0.167388916016,-0.591659545898
8.857,,-0.167388916016,-0.595474243164
8.858,,-0.167770385742,-0.595474243164
8.859,,-0.167388916016,-0.595474243164
8.86,,-0.167388916016,-0.595474243164
8.861,,-0.167770385742,-0.59928894043
8.862,,-0.167388916016,-0.59928894043
8.863,,-0.167388916016,-0.59928894043
8.864,,-0.167388916016,-0.595474243164
8.865,,-0.167388916016,-0.595474243164
8.866,,-0.0354957580566,4.74014282227
8.867,,0.0979232788086,2.03418731689
8.868,,0.143280029297,1.11198425293
8.869,,0.158920288086,0.795555114746
8.87,,0.164260864258,0.681304931641
8.871,,0.166168212891,0.64697265625
8.872,,0.166931152344,0.635528564453
8.873,,0.166931152344,0.631713867188
8.874,,0.166931152344,0.631713867188
8.875,,0.166931152344,0.627899169922
8.876,,0.166931152344,0.624084472656
8.877,,0.166931152344,0.624084472656
8.878,,0.166931152344,0.627899169922
8.879,,0.166931152344,0.627899169922
8.88,,0.166931152344,0.624084472656
8.881,,0.166931152344,0.624084472656
8.882,,0.166931152344,0.627899169922
8.883,,0.166931152344,0.624084472656
8.884,,0.166931152344,0.620269775391
8.885,,0.166931152344,0.624084472656
8.886,,0.166931152344,0.627899169922
8.887,,0.166931152344,0.624084472656
8.888,,0.166931152344,0.624084472656
8.889,,0.166931152344,0.627899169922
8.89,,0.16731262207,0.624084472656
8.891,,0.166931152344,0.624084472656
8.892,,0.166931152344,0.627899169922
8.893,,0.16731262207,0.627899169922
8.894,,0.166931152344,0.624084472656
8.895,,0.166931152344,0.624084472656
8.896,,0.166931152344,0.624084472656
8.897,,0.166931152344,0.624084472656
8.898,,0.166931152344,0.627899169922
8.899,,0.166931152344,0.627899169922
8.9,,0.166931152344,0.627899169922
8.901,,0.16731262207,0.627899169922
8.902,,0.166931152344,0.627899169922
8.903,,0.166931152344,0.624084472656
8.904,,0.166931152344,0.627899169922
8.905,,0.166931152344,0.627899169922
8.906,,0.16731262207,0.624084472656
8.907,,0.166931152344,0.624084472656
8.908,,0.166931152344,0.624084472656
8.909,,0.166931152344,0.624084472656
8.91,,0.166931152344,0.627899169922
8.911,,0.166931152344,0.631713867188
8.912,,0.166931152344,0.627899169922
8.913,,0.16731262207,0.631713867188
8.914,,0.166931152344,0.631713867188
8.915,,0.166931152344,0.627899169922
8.916,,0.0197792053223,-4.36477661133
8.917,,-0.103359222412,-1.89514160156
8.918,,-0.145282745361,-1.03759765625
8.919,,-0.159778594971,-0.747871398926
8.92,,-0.16471862793,-0.645065307617
8.921,,-0.166625976563,-0.614547729492
8.922,,-0.167007446289,-0.603103637695
8.923,,-0.167388916016,-0.59928894043
8.924,,-0.167388916016,-0.59928894043
8.925,,-0.167388916016,-0.59928894043
8.926,,-0.167388916016,-0.587844848633
8.927,,-0.167770385742,-0.595474243164
8.928,,-0.167388916016,-0.595474243164
8.929,,-0.167388916016,-0.591659545898
8.93,,-0.167388916016,-0.595474243164
8.931,,-0.167770385742,-0.591659545898
8.932,,-0.167388916016,-0.595474243164
8.933,,-0.167388916016,-0.595474243164
8.934,,-0.167770385742,-0.595474243164
8.935,,-0.167388916016,-0.595474243164
8.936,,-0.167388916016,-0.59928894043
8.937,,-0.167388916016,-0.595474243164
8.938,,-0.167388916016,-0.595474243164
8.939,,-0.167770385742,-0.595474243164
8.94,,-0.167770385742,-0.591659545898
8.941,,-0.167388916016,-0.591659545898
8.942,,-0.167770385742,-0.591659545898
8.943,,-0.167770385742,-0.595474243164
8.944,,-0.167388916016,-0.591659545898
8.945,,-0.167770385742,-0.587844848633
8.946,,-0.167388916016,-0.591659545898
8.947,,-0.167388916016,-0.595474243164
8.948,,-0.167388916016,-0.591659545898
8.949,,-0.167770385742,-0.591659545898
8.95,,-0.167770385742,-0.591659545898
8.951,,-0.167388916016,-0.591659545898
8.952,,-0.167388916016,-0.591659545898
8.953,,-0.167770385742,-0.595474243164
8.954,,-0.167388916016,-0.595474243164
8.955,,-0.167388916016,-0.595474243164
8.956,,-0.167388916016,-0.591659545898
8.957,,-0.167388916016,-0.595474243164
8.958,,-0.167388916016,-0.59928894043
8.959,,-0.167388916016,-0.595474243164
8.96,,-0.167388916016,-0.595474243164
8.961,,-0.167388916016,-0.595474243164
8.962,,-0.167388916016,-0.587844848633
8.963,,-0.167388916016,-0.595474243164
8.964,,-0.167388916016,-0.59928894043
8.965,,-0.167388916016,-0.59928894043
8.966,,-0.0358772277832,4.74395751953
8.967,,0.0979232788086,2.03418731689
8.968,,0.143280029297,1.10816955566
8.969,,0.158920288086,0.787925720215
8.97,,0.164260864258,0.685119628906
8.971,,0.165786743164,0.650787353516
8.972,,0.166549682617,0.635528564453
8.973,,0.166931152344,0.631713867188
8.974,,0.166931152344,0.627899169922
8.975,,0.166931152344,0.627899169922
8.976,,0.166931152344,0.627899169922
8.977,,0.166931152344,0.627899169922
8.978,,0.166931152344,0.627899169922
8.979,,0.166931152344,0.627899169922
8.98,,0.16731262207,0.624084472656
8.981,,0.166931152344,0.620269775391
8.982,,0.166931152344,0.624084472656
8.983,,0.166931152344,0.627899169922
