"Latest: Time (s)","Latest: Potential (mV)","Latest: Current (A)"
23.168,-42.196875,-0.420703887939
23.169,-43.6097167969,-0.418033599854
23.17,-44.5516113281,-0.414981842041
23.171,-45.4935058594,-0.412311553955
23.172,-46.4354003906,-0.409641265869
23.173,-47.8482421875,-0.406589508057
23.174,-48.7901367187,-0.403919219971
23.175,-50.2029785156,-0.400867462158
23.176,-50.6739257812,-0.397815704346
23.177,-51.6158203125,-0.394382476807
23.178,-52.5577148437,-0.391330718994
23.179,-53.9705566406,-0.388660430908
23.18,-54.9124511719,-0.384845733643
23.181,-55.8543457031,-0.381412506104
23.182,-56.7962402344,-0.377979278564
23.183,-57.2671875,-0.374164581299
23.184,-58.6800292969,-0.371112823486
23.185,-60.0928710937,-0.367298126221
23.186,-61.034765625,-0.363864898682
23.187,-61.9766601562,-0.360069274902
23.188,-62.9185546875,-0.356254577637
23.189,-63.8604492187,-0.352058410645
23.19,-64.80234375,-0.348243713379
23.191,-65.7442382812,-0.34481048584
23.192,-66.2151855469,-0.340614318848
23.193,-67.1570800781,-0.336799621582
23.194,-67.6280273437,-0.332221984863
23.195,-69.0408691406,-0.328025817871
23.196,-69.9827636719,-0.323829650879
23.197,-71.3720581055,-0.319633483887
23.198,-72.3139526367,-0.315437316895
23.199,-72.7848999023,-0.310859680176
23.2,-73.7267944336,-0.306663513184
23.201,-74.6686889648,-0.302085876465
23.202,-75.6105834961,-0.297889709473
23.203,-76.5524780273,-0.292930603027
23.204,-77.023425293,-0.288352966309
23.205,-77.4943725586,-0.283393859863
23.206,-78.4362670898,-0.278816223145
23.207,-79.3781616211,-0.274238586426
23.208,-80.3200561523,-0.270042419434
23.209,-80.3200561523,-0.265083312988
23.21,-81.2619506836,-0.259742736816
23.211,-81.7328979492,-0.254783630371
23.212,-82.6747924805,-0.249824523926
23.213,-83.1457397461,-0.24486541748
23.214,-84.0876342773,-0.240287780762
23.215,-84.558581543,-0.234565734863
23.216,-85.0295288086,-0.229988098145
23.217,-85.9714233398,-0.224266052246
23.218,-86.4423706055,-0.219688415527
23.219,-86.9133178711,-0.214347839355
23.22,-87.8552124023,-0.208625793457
23.221,-88.326159668,-0.203666687012
23.222,-88.7971069336,-0.19832611084
23.223,-89.2680541992,-0.192985534668
23.224,-89.7390014648,-0.187644958496
23.225,-90.6808959961,-0.181922912598
23.226,-90.6808959961,-0.176582336426
23.227,-90.6808959961,-0.171241760254
23.228,-91.6227905273,-0.165538787842
23.229,-91.6227905273,-0.16019821167
23.23,-92.093737793,-0.154094696045
23.231,-93.0356323242,-0.148754119873
