"Latest: Time (s)","Latest: Potential (mV)","Latest: Current (A)"
26.951,-48.3191894531,-0.0514793395996
26.952,-48.7901367187,-0.0484275817871
26.953,-48.3191894531,-0.0457572937012
26.954,-48.7901367187,-0.0427055358887
26.955,-48.7901367187,-0.0400352478027
26.956,-48.7901367187,-0.0369834899902
26.957,-48.7901367187,-0.0339317321777
26.958,-48.7901367187,-0.0312614440918
26.959,-49.2610839844,-0.0278282165527
26.96,-49.2610839844,-0.0251579284668
26.961,-49.2610839844,-0.0224876403809
26.962,-48.7901367187,-0.0194358825684
26.963,-49.2610839844,-0.0163841247559
26.964,-49.2610839844,-0.0133323669434
26.965,-49.2610839844,-0.0106620788574
26.966,-49.2610839844,-0.00761032104492
26.967,-48.7901367187,-0.00455856323242
26.968,-48.7901367187,-0.00188827514648
26.969,-48.7901367187,0.00116348266602
26.97,-48.7901367187,0.00383377075195
26.971,-48.7901367187,0.00726699829102
26.972,-48.7901367187,0.00993728637695
26.973,-48.7901367187,0.0129890441895
26.974,-48.7901367187,0.0156593322754
26.975,-48.7901367187,0.0183296203613
26.976,-49.2610839844,0.0217628479004
26.977,-49.2610839844,0.0248146057129
26.978,-49.2610839844,0.0274848937988
26.979,-49.2610839844,0.030517578125
26.98,-48.7901367187,0.0331878662109
26.981,-48.7901367187,0.0362396240234
26.982,-48.7901367187,0.0389099121094
26.983,-49.2610839844,0.0419616699219
26.984,-48.7901367187,0.0450134277344
26.985,-48.7901367187,0.0476837158203
26.986,-48.7901367187,0.0511169433594
26.987,-48.7901367187,0.0537872314453
26.988,-48.7901367187,0.0564575195313
26.989,-48.7901367187,0.0595092773438
26.99,-48.7901367187,0.0625610351563
26.991,-48.3191894531,0.0656127929688
26.992,-48.7901367187,0.0682830810547
26.993,-48.7901367187,0.0709533691406
26.994,-48.7901367187,0.0736236572266
26.995,-48.7901367187,0.0770568847656
26.996,-48.3191894531,0.0797271728516
26.997,-48.3191894531,0.0827789306641
26.998,-48.3191894531,0.08544921875
26.999,-48.7901367187,0.0885009765625
27,-48.3191894531,0.0911712646484
27.001,-47.8482421875,0.0938415527344
27.002,-47.8482421875,0.0972747802734
27.003,-47.8482421875,0.0995635986328
27.004,-47.8482421875,0.102615356445
27.005,-47.8482421875,0.105667114258
27.006,-47.3772949219,0.10871887207
27.007,-47.3772949219,0.111389160156
27.008,-47.8482421875,0.114059448242
27.009,-47.8482421875,0.117111206055
27.01,-47.8482421875,0.119781494141
27.011,-47.8482421875,0.122451782227
27.012,-47.8482421875,0.125503540039
27.013,-47.8482421875,0.128555297852
27.014,-47.3772949219,0.131225585938
27.015,-47.3772949219,0.133895874023
27.016,-47.3772949219,0.136947631836
27.017,-46.9063476562,0.139999389648
27.018,-46.4354003906,0.142288208008
27.019,-46.4354003906,0.14533996582
27.02,-46.9063476562,0.14762878418
27.021,-46.9063476562,0.150680541992
27.022,-46.4354003906,0.153350830078
27.023,-45.964453125,0.156402587891
27.024,-46.4354003906,0.159072875977
27.025,-45.964453125,0.161743164063
27.026,-46.4354003906,0.164794921875
27.027,-46.4354003906,0.167083740234
27.028,-45.964453125,0.170135498047
27.029,-45.964453125,0.172805786133
27.03,-45.964453125,0.175476074219
27.031,-45.964453125,0.178146362305
27.032,-45.4935058594,0.180816650391
27.033,-45.964453125,0.183486938477
27.034,-45.0225585937,0.186157226563
27.035,-45.0225585937,0.188827514648
27.036,-45.0225585937,0.191497802734
27.037,-45.0225585937,0.19416809082
27.038,-44.5516113281,0.196838378906
27.039,-44.5516113281,0.199508666992
27.04,-44.0806640625,0.202560424805
27.041,-44.0806640625,0.205230712891
27.042,-44.0806640625,0.20751953125
27.043,-44.5516113281,0.210189819336
27.044,-44.0806640625,0.212860107422
27.045,-44.0806640625,0.215530395508
27.046,-43.6097167969,0.218200683594
27.047,-43.6097167969,0.220489501953
27.048,-43.6097167969,0.222778320313
27.049,-43.1387695312,0.225811004639
27.05,-43.6097167969,0.228481292725
27.051,-42.6678222656,0.231151580811
27.052,-42.6678222656,0.23344039917
27.053,-42.6678222656,0.235729217529
27.054,-42.6678222656,0.238780975342
27.055,-42.196875,0.241451263428
27.056,-42.196875,0.243740081787
27.057,-41.7259277344,0.246028900146
27.058,-41.7259277344,0.248317718506
27.059,-41.7259277344,0.251369476318
27.06,-41.7259277344,0.254039764404
27.061,-41.2549804687,0.255947113037
27.062,-41.2549804687,0.258617401123
27.063,-41.2549804687,0.261287689209
27.064,-41.2549804687,0.263195037842
27.065,-40.7840332031,0.265483856201
27.066,-40.3130859375,0.268154144287
27.067,-40.3130859375,0.270824432373
27.068,-39.3711914062,0.272731781006
27.069,-39.3711914062,0.275402069092
27.07,-39.3711914062,0.277690887451
27.071,-39.3711914062,0.279979705811
27.072,-39.3711914062,0.28226852417
27.073,-38.9002441406,0.284938812256
27.074,-38.429296875,0.287227630615
27.075,-38.429296875,0.289516448975
27.076,-38.9002441406,0.291805267334
27.077,-38.429296875,0.293712615967
27.078,-38.429296875,0.296001434326
27.079,-37.9583496094,0.298290252686
27.08,-37.9583496094,0.300960540771
27.081,-37.9583496094,0.302867889404
27.082,-37.4874023437,0.305156707764
27.083,-37.4874023437,0.307445526123
27.084,-37.0164550781,0.309734344482
27.085,-36.5455078125,0.311641693115
27.086,-36.5455078125,0.313930511475
27.087,-36.5455078125,0.315837860107
27.088,-36.0745605469,0.318508148193
27.089,-35.6036132812,0.3200340271
27.09,-35.6036132812,0.322704315186
27.091,-35.1326660156,0.324611663818
27.092,-35.1326660156,0.326900482178
27.093,-35.1326660156,0.329189300537
27.094,-35.1326660156,0.330715179443
27.095,-34.66171875,0.333003997803
27.096,-34.66171875,0.335292816162
27.097,-34.1907714844,0.337200164795
27.098,-34.1907714844,0.339107513428
27.099,-34.1907714844,0.341396331787
27.1,-33.7198242187,0.34330368042
27.101,-33.2488769531,0.345211029053
27.102,-33.2488769531,0.347118377686
27.103,-32.7779296875,0.349407196045
27.104,-32.7779296875,0.351314544678
27.105,-32.7779296875,0.353221893311
27.106,-32.3069824219,0.355129241943
27.107,-31.8360351562,0.357036590576
27.108,-31.3650878906,0.358562469482
27.109,-31.8360351562,0.360851287842
27.11,-31.3650878906,0.362377166748
27.111,-31.3650878906,0.363903045654
