"Latest: Time (s)","Latest: Illumination (lux)","Latest: Angle (rad)","Latest: Velocity (rad/s)","Latest: Acceleration (rad/s²)","Run 1: Time (s)","Run 1: Intensity (%)","Run 1: Angle (rad)","Run 1: Velocity (rad/s)","Run 1: Acceleration (rad/s²)"
9.1,75970.3033447,-2.19911485751,-0.649650332687,-0.333982758097,9.1,22.038269043,-2.33874119767,-0.610865238198,-1.83690516954
9.15,78722.9992676,-2.23402144255,-0.639954059065,0.996561455614,9.15,22.282409668,-2.37364778271,-0.601168964576,-1.06120327976
9.2,85579.821167,-2.26892802759,-0.523598775598,1.81535789482,9.2,22.4044799805,-2.39110107523,-0.688435427176,-0.737994159022
9.25,91261.104126,-2.28638132011,-0.39754721851,1.47060149937,9.25,25.3921508789,-2.44346095279,-0.746613068909,0.624870966763
9.3,98997.3815918,-2.30383461263,-0.358762124021,0.657191878838,9.3,25.422668457,-2.47836753783,-0.591472690954,1.30361012032
9.35,105851.271973,-2.32128790515,-0.349065850399,0.0430945494316,9.35,25.9414672852,-2.49582083035,-0.542991322843,0.651805060158
9.4,106730.727539,-2.33874119767,-0.358762124021,-0.43094549432,9.4,25.0579833984,-2.53072741539,-0.53329504922,0.00538681867898
9.45,109190.271606,-2.35619449019,-0.387850944888,-0.808022801849,9.45,22.2213745117,-2.54818070791,-0.552687596465,-0.457879587715
9.5,110538.770142,-2.37364778271,-0.475117407487,-0.495587318467,9.5,20.9701538086,-2.58308729295,-0.62056151182,-0.177765016407
9.55,108313.747559,-2.40855436775,-0.475117407487,0.452492769036,9.55,20.0866699219,-2.61799387799,-0.562383870087,-0.0161604560368
9.6,105616.750488,-2.42600766027,-0.387850944888,0.630257785442,9.6,20.5139160156,-2.63544717051,-0.572080143709,-0.635644604121
9.65,100636.100464,-2.44346095279,-0.368458397643,-2.76106298319E-013,9.65,21.8246459961,-2.67035375555,-0.659346606309,-0.630257785442
9.7,92961.3848877,-2.46091424531,-0.387850944888,-0.630257785442,9.7,23.1964111328,-2.70526034059,-0.678739153553,0.183151835086
9.75,82882.8240967,-2.47836753783,-0.475117407487,-0.457879587714,9.75,22.6791381836,-2.74016692563,-0.649650332687,1.14200555995
9.8,77963.7359619,-2.51327412287,-0.475117407487,0.457879587714,9.8,22.9232788086,-2.77507351067,-0.53329504922,1.45982786201
9.85,76967.0196533,-2.53072741539,-0.387850944888,0.624870966763,9.85,24.1729736328,-2.79252680319,-0.436332312999,0.554842323936
9.9,79836.9763184,-2.54818070791,-0.368458397643,-0.037707730753,9.9,24.7833251953,-2.80998009571,-0.494509954732,-0.037707730753
9.95,84758.9959717,-2.56563400043,-0.387850944888,-0.813409620528,9.95,26.1856079102,-2.84488668075,-0.504206228354,0.603323692047
